Name of movie,Year of relase,Description,Watch time,movie rating,Metascore,votes,Gross collection
Der Pate,1972,An organized crime dynasty's aging patriarch transfers control of his clandestine empire to his reluctant son.,175 ,9.2,100,"1,705,226",134.97
Der Pate 2,1974,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",202 ,9,90,"1,184,524",57.30
Pulp Fiction,1994,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",154 ,8.9,94,"1,910,075",107.93
The Dark Knight,2008,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",152 ,9,84,"2,421,273",534.86
Heat,1995,A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a clue at their latest heist.,170 ,8.2,76,"606,489",67.44
Kill Bill - Vol. 1,2003,"After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.",111 ,8.1,69,"1,046,742",70.10
Kill Bill: Vol. 2,2004,"The Bride continues her quest of vengeance against her former boss and lover Bill, the reclusive bouncer Budd, and the treacherous, one-eyed Elle.",137 ,8,83,"714,063",66.21
Departed: Unter Feinden,2006,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,151 ,8.5,85,"1,241,624",132.38
Léon: Der Profi,1994,"Mathilda, a 12-year-old girl, is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade.",110 ,8.5,64,"1,082,298",19.50
Der Pate 3,1990,"Follows Michael Corleone, now in his 60s, as he seeks to free his family from crime and find a suitable successor to his empire.",162 ,7.6,60,"375,397",66.67
Es war einmal in Amerika,1984,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life.",229 ,8.3,75,"329,315",5.32
Die üblichen Verdächtigen,1995,"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup.",106 ,8.5,77,"1,029,415",23.34
Sin City,2005,"An exploration of the dark and miserable Basin City and three of its residents, all of whom are caught up in violent corruption.",124 ,8,74,"750,013",74.10
Scarface,1983,"In 1980 Miami, a determined Cuban immigrant takes over a drug cartel and succumbs to greed.",170 ,8.3,65,"778,929",45.60
No Country for Old Men,2007,Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.,122 ,8.1,91,"901,418",74.28
Carlito's Way,1993,"A Puerto Rican former convict, just released from prison, pledges to stay away from drugs and violence despite the pressure around him and lead on to a better life outside of N.Y.C.",144 ,7.9,65,"208,398",36.95
Hundstage,1975,"Three amateur bank robbers plan to hold up a bank. A nice simple robbery: Walk in, take the money, and run. Unfortunately, the supposedly uncomplicated heist suddenly becomes a bizarre nightmare as everything that could go wrong does.",125 ,8,86,"246,040",50.00
Serpico,1973,An honest New York cop named Frank Serpico blows the whistle on rampant corruption in the force only to have his comrades turn against him.,130 ,7.7,87,"116,777",29.80
Catch Me If You Can,2002,"Barely 21 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit.",141 ,8.1,75,"886,733",164.62
Collateral,2004,A cab driver finds himself the hostage of an engaging contract killer as he makes his rounds from hit to hit during one night in Los Angeles.,120 ,7.5,71,"379,653",101.01
Ghost Dog - Der Weg des Samurai,1999,An African-American Mafia hit man who models himself after the samurai of old finds himself targeted for death by the mob.,116 ,7.5,67,"88,515",3.31
"Three Billboards Outside Ebbing, Missouri",2017,A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.,115 ,8.1,88,"466,410",54.51
Mystic River,2003,The lives of three men who were childhood friends are shattered when one of them has a family tragedy.,138 ,7.9,84,"437,096",90.14
GoodFellas - Drei Jahrzehnte in der Mafia,1990,"The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate.",146 ,8.7,90,"1,070,988",46.84
Papillon,1973,"A man befriends a fellow criminal as the two of them begin serving their sentence on a dreadful prison island, which inspires the man to plot his escape.",151 ,8,58,"126,380",53.27
Prisoners,2013,"When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts.",153 ,8.1,70,"638,260",61.00
Taxi Driver,1976,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action by attempting to liberate a presidential campaign worker and an underage prostitute.",114 ,8.2,94,"762,228",28.26
City of God,2002,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.",130 ,8.6,79,"722,318",7.56
Elephant,2003,Several ordinary high school students go through their daily routine as two others prepare for something more malevolent.,81 ,7.2,70,"88,651",1.23
The Hateful 8,2015,"In the dead of a Wyoming winter, a bounty hunter and his prisoner find shelter in a cabin currently inhabited by a collection of nefarious characters.",168 ,7.8,68,"551,069",54.12
The Best Offer - Das höchste Gebot,2013,A lonely art expert working for a mysterious and reclusive heiress finds not only her art worth examining.,131 ,7.8,49,"113,322",0.09
Das Schweigen der Lämmer,1991,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",118 ,8.6,85,"1,332,844",130.74
The Wolf of Wall Street,2013,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.",180 ,8.2,75,"1,266,345",116.90
Auf der Flucht,1993,"Dr. Richard Kimble, unjustly accused of murdering his wife, must find the real killer while being the target of a nationwide manhunt led by a seasoned U.S. Marshal.",130 ,7.8,87,"279,253",183.88
